AUTHOR,YEAR,TOPIC,METHODOLOGY,DATASET,APA FORMAT,Researched by:
"Tsoi, T., Deng, J., Ju, Y., Weck, B., Kirchhoff, H., & Lui, S.",2025,"Cross-modal music similarity retrieval using contrastive learning, guided by LLM-generated text descriptions.","- The system uses a cross-modal contrastive learning framework with separate music and text encoders projected into a shared embedding space. 
- It features a dual-source data acquisition method combining online data mining with an LLM-based prompting methodology to generate diverse text descriptions for songs.","- A new, large-scale dataset of music-text pairs was created using the proposed dual-source acquisition method. 
- The framework was validated through objective metrics, subjective user evaluations, and online A/B testing on the Huawei Music streaming platform.","Tsoi, T., Deng, J., Ju, Y., Weck, B., Kirchhoff, H., & Lui, S. (2025). CrossMuSim: A Cross-Modal Framework for Music Similarity Retrieval with LLM-Powered Text Description Sourcing and Mining. In Proceedings of the IEEE International Conference on Multimedia and Expo (ICME).",Kean
"Zhou, Z., Wu, Y., Wu, Z., Zhang, X., Yuan, R., Ma, Y., Wang, L., Benetos, E., Xue, W., & Guo, Y.",2024,"A systematic evaluation of the music understanding, generation, and multi-step reasoning capabilities of state-of-the-art Large Language Models.","- The research introduces ABC-Eval, a novel open-source benchmark designed to evaluate the instruction-following and understanding capabilities of LLMs on symbolic music represented in ABC notation. 
- Seven leading LLMs were evaluated on this benchmark.","- The newly created ABC-Eval benchmark, an open-source dataset of tasks based on ABC notation scores designed to test musical reasoning.","Zhou, Z., Wu, Y., Wu, Z., Zhang, X., Yuan, R., Ma, Y., Wang, L., Benetos, E., Xue, W., & Guo, Y. (2024). Can LLMs “Reason” in Music? an Evaluation of LLMs’ Capability of Music Understanding and Generation. In Proceedings of the 25th International Society for Music Information Retrieval Conference (ISMIR).",Kean
"Wu, S., Yu, D., Tan, X., & Sun, M.",2023,"A pre-trained model, CLaMP, that learns joint representations of natural language and symbolic music for cross-modal retrieval tasks, including semantic search and zero-shot classification.","- CLaMP utilizes a dual-encoder architecture trained with a contrastive loss. 
- Key innovations include ""bar patching"" for efficient sequence representation, text dropout as data augmentation, and a masked music model pre-training objective to enhance contextual understanding.","- The model was pre-trained on a new dataset of 1.4 million music-text pairs. For evaluation, the authors created and released the WikiMusicText (WikiMT) dataset, containing 1,010 lead sheets in ABC notation with descriptive annotations.","Wu, S., Yu, D., Tan, X., & Sun, M. (2023). CLaMP: Contrastive Language-Music Pre-Training for Cross-Modal Symbolic Music Information Retrieval. In Proceedings of the 24th International Society for Music Information Retrieval Conference (ISMIR) (pp. 157-165).",Kean
"Yuan, R., Pan, J., Li, Y., Zhang, G., Zhang, Y., Duan, Z., Xue, W., & Guo, Y.",2024,"
A robust music version identification system, X-Cover, that improves upon the state-of-the-art by integrating features from a pre-trained ASR model to leverage lyrical content","- X-Cover extends the ByteCover3 architecture with a dual-input structure, processing a CQT spectrogram for musical features and a log-Mel spectrogram via a parameter-efficiently fine-tuned Whisper model for lyrical features. 
- The embeddings are fused and trained using a Local Alignment Loss (LAL) and a ""bag of tricks"" including Sparse Softmax Loss and Non-Local operations.","- The system was evaluated on two standard Cover Song Identification benchmarks: SHS100K, a large-scale dataset with 108,523 recordings, and Covers80, a smaller classic test set.","Yuan, R., Pan, J., Li, Y., Zhang, G., Zhang, Y., Duan, Z., Xue, W., & Guo, Y. (2024). X-Cover: Better Music Version Identification System by Integrating Pretrained ASR Model. In Proceedings of the 25th International Society for Music Information Retrieval Conference (ISMIR) (pp. 70-77).",Kean
"Xu, S., Yu, C., Li, Y., & Li, H.",2022,Paralinguistic singing attribute recognition for classical tenor voice using supervised machine learning frameworks,"- Constructed Singing Voice Quality and Technique Database (SVQTD) with 4,000 labeled tenor vocal segments from YouTube
- Music source separation (Spleeter) and energy-based silence detection used for preprocessing
- Seven trained annotators labeled data with seven paralinguistic singing attributes after standardized training
- Explored three supervised machine learning frameworks for attribute recognition:
- SF-SVM: openSMILE handcrafted features (INTERSPEECH 2009/2016) + SVM classifier
- E2EDL: End-to-end deep learning using ResNet and Transformer Encoder on log-mel spectrograms
- DE-SVM: Deep embeddings from E2EDL fed into SVM classifier
- Introduced Sliced Multi-Head Self-Attention (SMSA) for efficient 2D spectrogram processing in transformers
- Addressed class imbalance with weighted cross-entropy and focal loss
- Evaluated models using Unweighted Average Recall (UAR) metric","- Name: Singing Voice Quality and Technique Database (SVQTD)
- Content: 4000 vocal solo segments (4–20 seconds each)
- Source: YouTube recordings of six famous tenor arias
- Annotations: Labeled with seven paralinguistic singing attributes (e.g., chest resonance, head resonance, open throat, vibrato, etc.)
- Annotators: 7 trained classical singers (≥3 years experience)
- Labeling Process: 10-hour training (2 hours theory + 8 hours practice); supervised quality checks
Availability: Publicly available online — https://hackerpeter1.github.io/SVQTD/","Xu, S., Yu, C., Li, Y., & Li, H. (2022). Paralinguistic singing attribute recognition for classical tenor voice using supervised machine learning frameworks. EURASIP Journal on Audio, Speech, and Music Processing, 2022(8). https://doi.org/10.1186/s13636-022-00240-z",Marian
"Huang, D.",2024,An objective evaluation method of vocal singing effect based on artificial intelligence technology,"- Logarithmic Mel spectrum extracted as main acoustic feature for accurate voice characterization.
- Preprocessing with resampling, framing, and windowing (Hamming window) for spectral analysis.
- Fast Fourier Transform (FFT) used to convert framed signals to frequency domain.
- Hidden Markov Models (HMM) applied for acoustic modeling and phoneme recognition.
- Hybrid Gaussian models combined with HMM to model emission probabilities of acoustic states.
- Generalized Regression Radial Basis Function (RBF) Network used for objective evaluation scoring.
- Evaluation criteria included 18 performance indicators (intonation, technique, emotion, stage presence).
- System accuracy: 95% (pitch), 93% (rhythm), 89% (timbre).
- Validation: Compared system-generated scores with human expert judgments to confirm reliability.","- Focused on solo vocal singing audio recordings (clean monophonic tracks).
- Audio sampled at 42.2 kHz, 16-bit mono format.
- Data used for pitch, rhythm, and timbre analysis in vocal performance evaluation.
- Songs such as “Water of Forgetfulness” and “Courage” were used for testing system reliability.
- Evaluations included multiple singers (male/female) and human expert comparisons for validation.","Huang, D. (2024). An objective evaluation method of vocal singing effect based on artificial intelligence technology. Applied Mathematics and Nonlinear Sciences, 9(1), 1–13. https://doi.org/10.2478/amns-2024-0865",Marian
"Angelakis, E., Kotsani, N., & Georgaki, A.",2021,"Towards a Singing Voice Multi-Sensor Analysis Tool: System Design, and Assessment Based on Vocal Breathiness","Designed a modular multi-sensor system specifically for singing voice analysis.
- Condenser Microphone (CM): To capture the acoustic vocal output.
- Electroglottograph (EGG): To monitor phonatory function and vocal fold contact.
- Respiratory Effort Transducers (RET): Two belts (thoracic and abdominal) to track respiratory behavior.
Methodological focus on assessing ""vocal breathiness"" through:
- Perceptual ratings of breathiness in recorded samples.
- Feature extraction from CM and EGG signals, specifically Smoothed Cepstral Peak Prominence (CPPS) and Open Quotient (OQ) using Howard (HOQ) and DECOM (DOQ) methods.
- Conducted correlation analysis between perceptual ratings and extracted sensor features.
Proposed a multi-variate regression model (CDH) combining CPPS, DOQ, and HOQ, comparing it against the Acoustic Breathiness Index (ABI).","The study utilizes a custom experimental dataset created specifically for this system assessment. Dataset details:

Participants: 2 professional singers.

Protocol: Singers performed a protocol of vocal trials producing various degrees of intended vocal breathiness.

Data: Synchronized recordings of acoustic audio, electroglottographic signals, and respiratory movement data.","Angelakis, E., Kotsani, N., & Georgaki, A. (2021). Towards a Singing Voice Multi-Sensor Analysis Tool: System Design, and Assessment Based on Vocal Breathiness. Sensors, 21(23), 8006. https://doi.org/10.3390/s21238006",Marian
"Heydari, M., Wang, J.-C., & Duan, Z.",2023,SingNet: a real-time Singing Voice beat and Downbeat Tracking System,"- A real-time, causal beat and downbeat tracking system designed specifically for isolated singing voices
- Utilizes a causal Convolutional Recurrent Neural Network (CRNN) with three unidirectional LSTM layers to model beat, downbeat, and non-beat activations from spectral features
- Introduces a novel dynamic particle filtering inference framework with a variable number of particles, extending traditional fixed-particle Monte Carlo methods
- Employs a two-stage particle filtering cascade for joint beat and downbeat tracking under real-time causality constraints
- Evaluated using F1-score metrics under multiple temporal tolerances (±70 ms and ±200 ms) and cross-dataset testing","GTZAN dataset (vocal stems): Public music dataset where vocal tracks were extracted using music source separation to enable singing voice beat and downbeat evaluation

In-house singing voice dataset: Approximately 45,000 clips of clean vocal stems and corresponding accompaniments with beat and downbeat annotations, split into training, validation, and test sets

Cross-dataset evaluation performed by training on the in-house dataset and testing on GTZAN to assess generalization","Heydari, M., Wang, J.-C., & Duan, Z. (2023). SingNet: A real-time singing voice beat and downbeat tracking system. In Proceedings of the 2023 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP) (pp. 1–5). IEEE. https://doi.org/10.1109/ICASSP49357.2023.10096580",Marian
"Bienhold, J. G., Lewellen, R., Meyer, D., & van Leer, E.",2025,"Acoustic Analysis of Blues, Country, Folk, Italian Opera, and Rock Singing","- Applies nonlinear dynamic acoustic measures to quantify vocal chaos across different singing genres
- Computes cepstral peak prominence (CPP), correlation dimension (D2), and vocal tract chaos parameters (VTCP) from sustained sung vowels
- Uses FFT-based spectral analysis and nonlinear time-series methods to characterize phonatory and stylistic differences
- Performs comparative statistical analysis to examine genre-dependent acoustic behavior and vocal function variability","Singing voice recordings from performers across multiple musical genres

Sustained vowel samples used for controlled acoustic analysis

Dataset curated specifically for the study; recordings not publicly released","Bienhold, J. G., Lewellen, R., Meyer, D., & van Leer, E. (2025). Nonlinear acoustic analysis of vocal chaos across singing genres. Journal of Voice. https://doi.org/10.1016/j.jvoice.2025.02.036",Marian
"Baker, C. P., Purdy, S. C., Rakena, T. O., & Bonnini, S.",2023,It Sounds like It Feels: Preliminary Exploration of an Aeroacoustic Diagnostic Protocol for Singers,"- Explores associations between singers’ self-perceived vocal fatigue and instrumental acoustic and aerodynamic measures
- Computes smoothed cepstral peak prominence (CPPS), vibrato jitter, vibrato shimmer, and an efficiency ratio derived from aerodynamic measurements
- Applies multivariate linear regression to construct a proof-of-concept aeroacoustic index related to vocal fatigue perception
- Evaluates relationships between instrumental measures and selected items from the Evaluation of Ability to Sing Easily (EASE) scale","Acoustic and aerodynamic recordings from 18 classically trained singers

Sustained sung vowel and repeated syllable tasks recorded in a controlled environment

Dataset collected for the study; participant recordings not publicly released","Baker, C. P., Purdy, S. C., Rakena, T. O., & Bonnini, S. (2023). It sounds like it feels: Preliminary exploration of an aeroacoustic diagnostic protocol for singers. Journal of Clinical Medicine, 12(15), 5130. https://doi.org/10.3390/jcm12155130",Marian
"de Souza, G. V. S., Duarte, J. M. T., Viegas, F., Simões-Zenari, M., & Nemr, K.",2020,An Acoustic Examination of Pitch Variation in Soprano Singing,"- Conducts controlled acoustic analysis of sustained soprano vowel phonation across low, medium, and high pitch conditions
- Extracts fundamental frequency and the first five formants using FFT and Linear Predictive Coding (LPC) techniques
- Compares formant–harmonic relationships across pitch registers to identify pitch-dependent vocal tract behavior
- Applies non-parametric statistical tests to assess systematic differences in acoustic measures across pitch conditions","Recordings from 30 female sopranos without reported vocal complaints

Sustained /a/ vowel samples recorded at three pitch levels (C4, Eb4, Bb4)

Total of 90 analyzed samples; dataset recorded specifically for the study","de Souza, G. V. S., Duarte, J. M. T., Viegas, F., Simões-Zenari, M., & Nemr, K. (2020). An acoustic examination of pitch variation in soprano singing. Journal of Voice, 34(6), 925.e1–925.e10. https://doi.org/10.1016/j.jvoice.2019.08.013",Marian
"Morelli, M. S., Orlandi, S., & Manfredi, C.",2021,BioVoice: A multipurpose tool for voice analysis,"- Introduces BioVoice, a user-friendly software platform for acoustic analysis of human voice across newborn, child, adult, and singing voice emissions
- Implements time- and frequency-domain signal processing techniques to extract fundamental frequency (F0), formant frequencies (F1–F5), jitter, noise level (NNE), vibrato rate and extent, and quality ratio (QR)
- Employs adaptive analysis strategies based on age range, gender, and vocal emission type to ensure robustness across low- and high-pitched voices
- Includes automatic detection of voiced/unvoiced segments and melodic shape analysis of F0 for newborn, child, and singing voice signals
- Provides comparative evaluation against Praat using statistical analyses (e.g., Mann–Whitney tests) to assess accuracy and reliability of extracted acoustic parameters","Real voice recordings from multiple categories: adult male, adult female, child, newborn, and singer

Includes sustained vowels, crying sounds, and professional singing voice samples

Supplemented with synthetic voice signals for validation of F0, formant, jitter, and noise estimation algorithms

Datasets collected specifically for evaluation and demonstration purposes; not publicly released as a standalone corpus","Morelli, M. S., Orlandi, S., & Manfredi, C. (2021). BioVoice: A multipurpose tool for voice analysis. Biomedical Signal Processing and Control, 64, 102302. https://doi.org/10.1016/j.bspc.2020.102302",Marian
"Baker, C. P., Sundberg, J., Purdy, S. C., Rakena, T. O., & de S Leao, S. H.",2021,CPPS and Voice-Source Parameters: Objective Analysis of the Singing Voice,"- Conducts a controlled analysis of how voice-source parameters influence smoothed cepstral peak prominence (CPPS) in singing voice signals
- Uses synthetically generated singing tones to independently vary fundamental frequency, vibrato extent, source-spectrum tilt, and amplitude of the voice-source fundamental
- Generates signals using the Madde formant synthesizer under a linear source–filter model
- Computes CPPS using PRAAT and applies statistical correlation and regression analyses to quantify parameter effects
- Identifies non-linear and f₀-dependent behavior of CPPS and proposes correction equations as a proof-of-concept","Synthetic singing voice signals comprising 129 tones generated on vowels /a/ and /i/

Pitch range spanning 87–699 Hz, covering Western classical singing tessitura

Controlled variation of vibrato extent, source-spectrum tilt, and voice-source parameters

Dataset generated specifically for the study; not publicly released","Baker, C. P., Sundberg, J., Purdy, S. C., Rakena, T. O., & de S Leao, S. H. (2021). CPPS and voice-source parameters: Objective analysis of the singing voice. Journal of Voice, 38(3), 549–560. https://doi.org/10.1016/j.jvoice.2021.12.010",Marian
"Truong, T., Arzt, A., & Widmer, G.",2021,Deep Learning Approaches in Topics of Singing Information Processing,"- Survey-based analysis of deep learning models applied to singing information processing.
- Identified five core SIP tasks:
Singing Voice Separation
Singing Voice Detection
Singing Voice Pitch Extraction
Singing Synthesis
Singing Voice Conversion
- Analyzed model architectures used in these tasks:
- Convolutional Neural Networks (CNNs) for spectral feature learning.
- Recurrent Neural Networks (RNNs/LSTMs) for temporal sequence modeling.
- Generative Adversarial Networks (GANs) and Autoencoders for synthesis and timbre modeling.
- Transformer architectures for attention-based vocal processing.
- Highlighted advancements in end-to-end systems reducing reliance on hand-crafted features.
- Evaluated challenges such as data scarcity, generalization across singers, and interpretability.","- The study references multiple datasets related to singing voice tasks rather than one specific dataset.
- Datasets include:
- MIR-1K: 1,000 song clips for singing voice separation.
- NUS-48E: 48 English songs by 12 singers for pitch extraction and synthesis.
- JAMENDO and DSD100: Used for source separation and vocal detection tasks.
- These datasets cover monophonic and polyphonic recordings to evaluate deep learning systems for singing information processing (SIP).","Truong, T., Arzt, A., & Widmer, G. (2021). Deep learning approaches in topics of singing information processing. Frontiers in Digital Humanities, 8, 1–18. https://doi.org/10.3389/fdigh.2021.671430",Marian
"Li, W., Cui, X., Manoharan, P., Dai, L., Liu, K., & Huang, L.",2025,AI-Assisted Feedback and Reflection in Vocal Music Training: Effects on Metacognition and Singing Performance,The study employed an experimental design with a control group (conventional instruction) and an experimental group (AI-assisted intervention) over a six-week training period. The experimental intervention included self-assessment via audio comparison tools and dialogic feedback through interaction with a Large Language Model (AI chatbot) tailored for vocal pedagogy. The researchers measured outcomes using pre- and post-tests for singing performance and metacognitive scales.,The dataset consisted of 80 pre-service teachers (university students). Baseline measurements included the Stanford-Binet Intelligence Scales and the Seashore Measures of Musical Talents to ensure comparable groups.,"Li, W., Cui, X., Manoharan, P., Dai, L., Liu, K., & Huang, L. (2025). AI-assisted feedback and reflection in vocal music training: Effects on metacognition and singing performance. Frontiers in Psychology, 16, 1598867. https://doi.org/10.3389/fpsyg.2025.1598867 ",Dana
